plate,ID,dil,batch
parce lys 2023.03.07 plate 1,1,1,1
parce lys 2023.03.07 plate 1,2,1,1
parce lys 2023.03.07 plate 1,3,1,1
parce lys 2023.03.07 plate 1,4,1,1
parce lys 2023.03.07 plate 1,5,1,1
parce lys 2023.03.07 plate 1,6,1,1
parce lys 2023.03.07 plate 1,7,1,1
parce lys 2023.03.07 plate 1,8,1,1
parce lys 2023.03.07 plate 1,9,1,1
parce lys 2023.03.07 plate 1,10,1,1
parce lys 2023.03.07 plate 1,11,1,1
parce lys 2023.03.07 plate 1,12,1,1
parce lys 2023.03.07 plate 1,13,1,1
parce lys 2023.03.07 plate 1,14,1,1
parce lys 2023.03.07 plate 1,15,1,1
parce lys 2023.03.07 plate 1,16,1,1
parce lys 2023.03.07 plate 1,17,1,1
parce lys 2023.03.07 plate 1,18,1,1
parce lys 2023.03.07 plate 1,19,1,1
parce lys 2023.03.07 plate 1,20,1,1
parce lys 2023.03.07 plate 1,21,1,1
parce lys 2023.03.07 plate 1,NA,1,1
parce lys 2023.03.07 plate 1,NA,1,1
parce lys 2023.03.07 plate 1,24,1,1
parce lys 2023.03.07 plate 1,25,1,1
parce lys 2023.03.07 plate 1,26,1,1
parce lys 2023.03.07 plate 2,27,1,1
parce lys 2023.03.07 plate 2,28,1,1
parce lys 2023.03.07 plate 2,29,1,1
parce lys 2023.03.07 plate 2,30,1,1
parce lys 2023.03.07 plate 2,31,1,1
parce lys 2023.03.07 plate 2,32,1,1
parce lys 2023.03.07 plate 2,33,1,1
parce lys 2023.03.07 plate 2,34,1,1
parce lys 2023.03.07 plate 2,35,1,1
parce lys 2023.03.07 plate 2,36,1,1
parce lys 2023.03.07 plate 2,37,1,1
parce lys 2023.03.07 plate 2,38,1,1
parce lys 2023.03.07 plate 2,39,1,1
parce lys 2023.03.07 plate 2,40,1,1
parce lys 2023.03.07 plate 2,41,1,1
parce lys 2023.03.07 plate 2,42,1,1
parce lys 2023.03.07 plate 2,43,1,1
parce lys 2023.03.07 plate 2,44,1,1
parce lys 2023.03.07 plate 2,45,1,1
parce lys 2023.03.07 plate 2,46,1,1
parce lys 2023.03.07 plate 2,47,1,1
parce lys 2023.03.07 plate 2,48,1,1
parce lys 2023.03.07 plate 2,49,1,1
parce lys 2023.03.07 plate 2,50,1,1
parce lys 2023.03.07 plate 2,51,1,1
parce lys 2023.03.07 plate 2,52,1,1
parce lys 2023.03.07 plate 3,53,1,1
parce lys 2023.03.07 plate 3,54,1,1
parce lys 2023.03.07 plate 3,55,1,1
parce lys 2023.03.07 plate 3,56,1,1
parce lys 2023.03.07 plate 3,57,1,1
parce lys 2023.03.07 plate 3,58,1,1
parce lys 2023.03.07 plate 3,59,1,1
parce lys 2023.03.07 plate 3,60,1,1
parce lys 2023.03.07 plate 3,61,1,1
parce lys 2023.03.07 plate 3,62,1,1
parce lys 2023.03.07 plate 3,63,1,1
parce lys 2023.03.07 plate 3,64,1,1
parce lys 2023.03.07 plate 3,65,1,1
parce lys 2023.03.07 plate 3,66,1,1
parce lys 2023.03.07 plate 3,67,1,1
parce lys 2023.03.07 plate 3,68,1,1
parce lys 2023.03.07 plate 3,69,1,1
parce lys 2023.03.07 plate 3,70,1,1
parce lys 2023.03.07 plate 3,71,1,1
parce lys 2023.03.07 plate 3,72,1,1
parce lys 2023.03.07 plate 3,73,1,1
parce lys 2023.03.07 plate 3,NA,1,1
parce lys 2023.03.07 plate 3,75,1,1
parce lys 2023.03.07 plate 3,76,1,1
parce lys 2023.03.07 plate 3,77,1,1
parce lys 2023.03.07 plate 3,78,1,1
parce lys 2023.03.07 plate 4,79,1,1
parce lys 2023.03.07 plate 4,80,1,1
parce lys 2023.03.07 plate 4,81,1,1
parce lys 2023.03.07 plate 4,82,1,1
parce lys 2023.03.07 plate 4,NA,1,1
parce lys 2023.03.07 plate 4,84,1,1
parce lys 2023.03.07 plate 4,85,1,1
parce lys 2023.03.07 plate 4,86,1,1
parce lys 2023.03.07 plate 4,87,1,1
parce lys 2023.03.07 plate 4,88,1,1
parce lys 2023.03.07 plate 4,89,1,1
parce lys 2023.03.07 plate 4,90,1,1
parce lys 2023.03.07 plate 4,91,1,1
parce lys 2023.03.07 plate 4,92,1,1
parce lys 2023.03.07 plate 4,93,1,1
parce lys 2023.03.07 plate 4,94,1,1
parce lys 2023.03.07 plate 4,95,1,1
parce lys 2023.03.07 plate 4,96,1,1
parce lys 2023.03.07 plate 4,97,1,1
parce lys 2023.03.07 plate 4,98,1,1
parce lys 2023.03.07 plate 4,99,1,1
parce lys 2023.03.07 plate 4,100,1,1
parce lys 2023.03.07 plate 4,101,1,1
parce lys 2023.03.07 plate 4,102,1,1
parce lys 2023.03.07 plate 4,103,1,1
parce lys 2023.03.07 plate 4,104,1,1
parce lys 2023.03.07 plate 5,105,1,1
parce lys 2023.03.07 plate 5,106,1,1
parce lys 2023.03.07 plate 5,107,1,1
parce lys 2023.03.07 plate 5,108,1,1
parce lys 2023.03.07 plate 5,109,1,1
parce lys 2023.03.07 plate 5,110,1,1
parce lys 2023.03.07 plate 5,111,1,1
parce lys 2023.03.07 plate 5,112,1,1
parce lys 2023.03.07 plate 5,113,1,1
parce lys 2023.03.07 plate 5,114,1,1
parce lys 2023.03.07 plate 5,115,1,1
parce lys 2023.03.07 plate 5,116,1,1
parce lys 2023.03.07 plate 5,117,1,1
parce lys 2023.03.07 plate 5,118,1,1
parce lys 2023.03.07 plate 5,119,1,1
parce lys 2023.03.07 plate 5,120,1,1
parce lys 2023.03.07 plate 5,121,1,1
parce lys 2023.03.07 plate 5,122,1,1
parce lys 2023.03.07 plate 5,123,1,1
parce lys 2023.03.07 plate 5,124,1,1
parce lys 2023.03.07 plate 5,125,1,1
parce lys 2023.03.07 plate 5,126,1,1
parce lys 2023.03.07 plate 5,127,1,1
parce lys 2023.03.07 plate 5,128,1,1
parce lys 2023.03.07 plate 5,129,1,1
parce lys 2023.03.07 plate 5,130,1,1
parce lys 2023.03.07 plate 6,131,1,1
parce lys 2023.03.07 plate 6,132,1,1
parce lys 2023.03.07 plate 6,133,1,1
parce lys 2023.03.07 plate 6,134,1,1
parce lys 2023.03.07 plate 6,135,1,1
parce lys 2023.03.07 plate 6,136,1,1
parce lys 2023.03.07 plate 6,137,1,1
parce lys 2023.03.07 plate 6,138,1,1
parce lys 2023.03.07 plate 6,139,1,1
parce lys 2023.03.07 plate 6,140,1,1
parce lys 2023.03.07 plate 6,141,1,1
parce lys 2023.03.07 plate 6,142,1,1
parce lys 2023.03.07 plate 6,143,1,1
parce lys 2023.03.07 plate 6,144,1,1
parce lys 2023.03.07 plate 6,145,1,1
parce lys 2023.03.07 plate 6,146,1,1
parce lys 2023.03.07 plate 6,147,1,1
parce lys 2023.03.07 plate 6,148,1,1
parce lys 2023.03.07 plate 6,149,1,1
parce lys 2023.03.07 plate 6,150,1,1
parce lys 2023.03.07 plate 6,151,1,1
parce lys 2023.03.07 plate 6,152,1,1
parce lys 2023.03.07 plate 6,153,1,1
parce lys 2023.03.07 plate 6,154,1,1
parce lys 2023.03.07 plate 6,155,1,1
